Instancia,Dimensao,Experimento,Heuristica,EstrategiaBusca,Intensificacao,Diversificacao,CustoInicial,CustoFinal,MelhoriaPercentual,TempoTotal,Iteracoes,DescricaoCenario
X-n701-k44,701,Req4_Int_first,savings,first,True,False,85458.1615109964,84928.8481074235,0.6193830925145656,1803.9026341438293,241,Só Intensificação (first)
X-n701-k44,701,Req4_Div_first,savings,first,False,True,85458.1615109964,84917.18158516746,0.6330348281121531,1803.7068996429443,245,Só Diversificação (ILS) (first)
X-n701-k44,701,Req4_Full_first,savings,first,True,True,85458.1615109964,84913.13632379628,0.6377684443047524,1807.899518251419,252,Completo (ILS + Int) (first)
X-n701-k44,701,Req4_Base_best,savings,best,False,False,85458.1615109964,84928.8481074235,0.6193830925145656,1801.3464078903198,187,Sem Int / Sem Div (best)
X-n701-k44,701,Req4_Int_best,savings,best,True,False,85458.1615109964,84928.8481074235,0.6193830925145656,1800.5533304214478,186,Só Intensificação (best)
X-n701-k44,701,Req4_Div_best,savings,best,False,True,85458.1615109964,84928.8481074235,0.6193830925145656,1801.25399851799,187,Só Diversificação (ILS) (best)
X-n701-k44,701,Req4_Full_best,savings,best,True,True,85458.1615109964,84928.84810742353,0.6193830925145315,1803.814670085907,192,Completo (ILS + Int) (best)
X-n502-k39,502,Req3_savings_first,savings,first,False,False,71804.05202186956,71295.50019833185,0.7082494778746168,122.40650749206543,125,Construtiva Base (first)
X-n502-k39,502,Req3_savings_best,savings,best,False,False,71804.05202186956,71399.0495651034,0.5640384426255047,122.05446076393127,41,Construtiva Base (best)
X-n502-k39,502,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,72392.53602501465,70585.30730376027,2.4964296327868682,121.33871221542358,221,Construtiva Base (first)
X-n502-k39,502,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,72392.53602501465,70771.77887403271,2.2388456600303375,122.71637868881226,41,Construtiva Base (best)
X-n502-k39,502,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,72913.45308238776,70949.42331372731,2.6936452542457596,121.83969449996948,283,Construtiva Base (first)
X-n502-k39,502,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,72913.45308238776,71287.78941216572,2.2295798669487525,122.29416561126709,41,Construtiva Base (best)
X-n502-k39,502,Req4_Base_first,savings,first,False,False,71804.05202186956,71070.06726094977,1.0222052102244004,1806.0568029880524,353,Sem Int / Sem Div (first)
X-n502-k39,502,Req4_Int_first,savings,first,True,False,71804.05202186956,71132.16529801568,0.935722574053679,1805.4667637348175,355,Só Intensificação (first)
X-n502-k39,502,Req4_Div_first,savings,first,False,True,71804.05202186956,70977.87721283504,1.1505963601927234,1800.950885295868,362,Só Diversificação (ILS) (first)
X-n502-k39,502,Req4_Full_first,savings,first,True,True,71804.05202186956,71056.96262658028,1.0404557601592417,1803.202922821045,347,Completo (ILS + Int) (first)
X-n502-k39,502,Req4_Base_best,savings,best,False,False,71804.05202186956,71009.38878572323,1.1067108523406093,1806.2530019283295,256,Sem Int / Sem Div (best)
X-n502-k39,502,Req4_Int_best,savings,best,True,False,71804.05202186956,71009.38878572323,1.1067108523406093,1807.2821698188782,255,Só Intensificação (best)
X-n502-k39,502,Req4_Div_best,savings,best,False,True,71804.05202186956,71009.38878572323,1.1067108523406093,1806.277435541153,254,Só Diversificação (ILS) (best)
X-n502-k39,502,Req4_Full_best,savings,best,True,True,71804.05202186956,71009.38878572323,1.1067108523406093,1804.573243379593,259,Completo (ILS + Int) (best)
X-n801-k40,801,Req3_savings_first,savings,first,False,False,77235.31795903451,76444.98643628017,1.02327736020136,121.88645386695862,108,Construtiva Base (first)
X-n801-k40,801,Req3_savings_best,savings,best,False,False,77235.31795903451,76891.73025809471,0.444858272121096,127.62784600257874,13,Construtiva Base (best)
X-n801-k40,801,Req3_cheapest_insertion_first,cheapest_insertion,first,False,False,79973.78094900756,78069.83965363052,2.3807068676558103,124.36766695976257,219,Construtiva Base (first)
X-n801-k40,801,Req3_cheapest_insertion_best,cheapest_insertion,best,False,False,79973.78094900756,79330.14695406285,0.8048062593853154,125.29106378555298,13,Construtiva Base (best)
X-n801-k40,801,Req3_route_first_cluster_second_first,route_first_cluster_second,first,False,False,80658.19952696965,77523.11520702903,3.8868761493893076,121.62594985961914,326,Construtiva Base (first)
X-n801-k40,801,Req3_route_first_cluster_second_best,route_first_cluster_second,best,False,False,80658.19952696965,79741.0922296914,1.137029220409996,126.62339091300964,13,Construtiva Base (best)
X-n801-k40,801,Req4_Base_first,savings,first,False,False,77235.31795903451,76215.76379328182,1.320062107200053,1824.0979359149933,190,Sem Int / Sem Div (first)
X-n801-k40,801,Req4_Int_first,savings,first,True,False,77235.31795903451,76233.1125357687,1.2975999189870366,1816.8106682300568,187,Só Intensificação (first)
X-n801-k40,801,Req4_Div_first,savings,first,False,True,77235.31795903451,76267.82220806812,1.2526597630886336,1815.9200670719147,185,Só Diversificação (ILS) (first)
X-n801-k40,801,Req4_Full_first,savings,first,True,True,77235.31795903451,76234.37341248053,1.2959674058503587,1807.2999169826508,191,Completo (ILS + Int) (first)
X-n801-k40,801,Req4_Base_best,savings,best,False,False,77235.31795903451,76315.08170450278,1.1914707919242618,1811.0452556610107,80,Sem Int / Sem Div (best)
X-n801-k40,801,Req4_Int_best,savings,best,True,False,77235.31795903451,76314.72532900056,1.191932207131237,1808.4410421848297,80,Só Intensificação (best)
X-n801-k40,801,Req4_Div_best,savings,best,False,True,77235.31795903451,76314.72532900056,1.191932207131237,1817.1202538013458,81,Só Diversificação (ILS) (best)
X-n801-k40,801,Req4_Full_best,savings,best,True,True,77235.31795903451,76295.6205180875,1.2166680552094407,1807.8317935466766,84,Completo (ILS + Int) (best)
